finished,event,team_h_difficulty,team_a_difficulty,team_a_name,team_a_short_name,team_h_name,team_h_short_name,date
False,35,2.0,2,Burnley,BUR,Fulham,FUL,2021-05-10
False,35,4.0,4,Leicester,LEI,Man Utd,MUN,2021-05-11
False,35,2.0,2,Crystal Palace,CRY,Southampton,SOU,2021-05-11
False,35,3.0,4,Arsenal,ARS,Chelsea,CHE,2021-05-12
False,35,4.0,3,Everton,EVE,Aston Villa,AVL,2021-05-13
False,35,4.0,4,Liverpool,LIV,Man Utd,MUN,2021-05-13
False,36,(blank),(blank),(blank),(blank),Chelsea,CHE,(blank)
False,36,(blank),(blank),(blank),(blank),Arsenal,ARS,(blank)
False,36,(blank),(blank),(blank),(blank),Leicester,LEI,(blank)
False,36,2.0,3,Sheffield Utd,SHU,Everton,EVE,2021-05-16
False,36,4.0,2,Liverpool,LIV,West Brom,WBA,2021-05-16
False,36,(blank),(blank),(blank),(blank),Man Utd,MUN,(blank)
False,36,2.0,3,Aston Villa,AVL,Crystal Palace,CRY,2021-05-16
False,36,4.0,3,West Ham,WHU,Brighton,BHA,2021-05-15
False,36,4.0,2,Man City,MCI,Newcastle,NEW,2021-05-14
False,36,3.0,2,Leeds,LEE,Burnley,BUR,2021-05-15
False,36,2.0,4,Wolves,WOL,Spurs,TOT,2021-05-16
False,36,2.0,2,Fulham,FUL,Southampton,SOU,2021-05-15
False,37,4.0,2,West Ham,WHU,West Brom,WBA,2021-05-19
False,37,4.0,2,Liverpool,LIV,Burnley,BUR,2021-05-19
False,37,3.0,3,Arsenal,ARS,Crystal Palace,CRY,2021-05-19
False,37,2.0,3,Wolves,WOL,Everton,EVE,2021-05-19
False,37,2.0,2,Sheffield Utd,SHU,Newcastle,NEW,2021-05-19
False,37,4.0,4,Leicester,LEI,Chelsea,CHE,2021-05-18
False,37,4.0,3,Man City,MCI,Brighton,BHA,2021-05-18
False,37,3.0,2,Leeds,LEE,Southampton,SOU,2021-05-18
False,37,2.0,4,Fulham,FUL,Man Utd,MUN,2021-05-18
False,37,2.0,4,Aston Villa,AVL,Spurs,TOT,2021-05-19
False,38,4.0,3,Chelsea,CHE,Aston Villa,AVL,2021-05-23
False,38,2.0,2,Newcastle,NEW,Fulham,FUL,2021-05-23
False,38,2.0,3,West Brom,WBA,Leeds,LEE,2021-05-23
False,38,3.0,4,Spurs,TOT,Leicester,LEI,2021-05-23
False,38,2.0,3,Crystal Palace,CRY,Liverpool,LIV,2021-05-23
False,38,4.0,5,Everton,EVE,Man City,MCI,2021-05-23
False,38,2.0,2,Burnley,BUR,Sheffield Utd,SHU,2021-05-23
False,38,2.0,4,Southampton,SOU,West Ham,WHU,2021-05-23
False,38,4.0,3,Man Utd,MUN,Wolves,WOL,2021-05-23
False,38,3.0,4,Brighton,BHA,Arsenal,ARS,2021-05-23
