finished,event,team_h_difficulty,team_a_difficulty,team_a_name,team_a_short_name,team_h_name,team_h_short_name,date
False,33.0,2,4,Crystal Palace,CRY,Leicester,LEI,2021-04-26
False,34.0,4,2,Leicester,LEI,Southampton,SOU,2021-04-30
False,34.0,4,3,Man City,MCI,Crystal Palace,CRY,2021-05-01
False,34.0,3,3,Leeds,LEE,Brighton,BHA,2021-05-01
False,34.0,2,4,Fulham,FUL,Chelsea,CHE,2021-05-01
False,34.0,2,3,Aston Villa,AVL,Everton,EVE,2021-05-01
False,34.0,3,2,Arsenal,ARS,Newcastle,NEW,2021-05-02
False,34.0,4,4,Liverpool,LIV,Man Utd,MUN,2021-05-02
False,34.0,2,4,Sheffield Utd,SHU,Spurs,TOT,2021-05-02
False,34.0,2,2,Wolves,WOL,West Brom,WBA,2021-05-03
False,34.0,4,2,West Ham,WHU,Burnley,BUR,2021-05-03
False,35.0,2,2,Burnley,BUR,Fulham,FUL,2021-05-10
False,35.0,2,4,West Brom,WBA,Arsenal,ARS,2021-05-09
False,35.0,4,4,Everton,EVE,West Ham,WHU,2021-05-09
False,35.0,4,3,Man Utd,MUN,Aston Villa,AVL,2021-05-09
False,35.0,3,3,Brighton,BHA,Wolves,WOL,2021-05-09
False,35.0,3,3,Spurs,TOT,Leeds,LEE,2021-05-08
False,35.0,4,5,Chelsea,CHE,Man City,MCI,2021-05-08
False,35.0,2,2,Crystal Palace,CRY,Sheffield Utd,SHU,2021-05-08
False,35.0,2,4,Newcastle,NEW,Leicester,LEI,2021-05-07
False,35.0,2,3,Southampton,SOU,Liverpool,LIV,2021-05-08
False,36.0,3,4,Arsenal,ARS,Chelsea,CHE,2021-05-12
False,36.0,2,4,Wolves,WOL,Spurs,TOT,2021-05-12
False,36.0,2,2,Fulham,FUL,Southampton,SOU,2021-05-12
False,36.0,4,2,Man City,MCI,Newcastle,NEW,2021-05-12
False,36.0,4,2,Liverpool,LIV,West Brom,WBA,2021-05-11
False,36.0,4,4,Leicester,LEI,Man Utd,MUN,2021-05-11
False,36.0,2,3,Aston Villa,AVL,Crystal Palace,CRY,2021-05-11
False,36.0,2,3,Sheffield Utd,SHU,Everton,EVE,2021-05-11
False,36.0,3,2,Leeds,LEE,Burnley,BUR,2021-05-11
False,36.0,4,3,West Ham,WHU,Brighton,BHA,2021-05-11
False,37.0,4,2,West Ham,WHU,West Brom,WBA,2021-05-15
False,37.0,2,4,Aston Villa,AVL,Spurs,TOT,2021-05-15
False,37.0,2,2,Sheffield Utd,SHU,Newcastle,NEW,2021-05-15
False,37.0,2,4,Fulham,FUL,Man Utd,MUN,2021-05-15
False,37.0,3,2,Leeds,LEE,Southampton,SOU,2021-05-15
False,37.0,3,3,Arsenal,ARS,Crystal Palace,CRY,2021-05-15
False,37.0,4,4,Leicester,LEI,Chelsea,CHE,2021-05-15
False,37.0,4,2,Liverpool,LIV,Burnley,BUR,2021-05-15
False,37.0,4,3,Man City,MCI,Brighton,BHA,2021-05-15
False,37.0,2,3,Wolves,WOL,Everton,EVE,2021-05-15
False,38.0,2,4,Southampton,SOU,West Ham,WHU,2021-05-23
False,38.0,3,4,Brighton,BHA,Arsenal,ARS,2021-05-23
False,38.0,4,3,Chelsea,CHE,Aston Villa,AVL,2021-05-23
False,38.0,2,2,Newcastle,NEW,Fulham,FUL,2021-05-23
False,38.0,2,3,West Brom,WBA,Leeds,LEE,2021-05-23
False,38.0,3,4,Spurs,TOT,Leicester,LEI,2021-05-23
False,38.0,2,3,Crystal Palace,CRY,Liverpool,LIV,2021-05-23
False,38.0,4,5,Everton,EVE,Man City,MCI,2021-05-23
False,38.0,2,2,Burnley,BUR,Sheffield Utd,SHU,2021-05-23
False,38.0,4,3,Man Utd,MUN,Wolves,WOL,2021-05-23
